Source Name	Characteristics[organism]	Characteristics[cell line]	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[cell_line]
J132_EPB06P8_NCI-SNU-16_Stomach_908446	Homo sapiens	NCI-SNU-16	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB06P8_NCI-SNU-16_Stomach_908446	P-MTAB-44937	J132_EPB06P8_NCI-SNU-16_Stomach_908446:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813930_B06	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813930_B06.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	NCI-SNU-16
J132_EPB06P9_KARPAS-299_haematopoietic_and_lymphoid_tissue_907273	Homo sapiens	KARPAS-299	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB06P9_KARPAS-299_haematopoietic_and_lymphoid_tissue_907273	P-MTAB-44937	J132_EPB06P9_KARPAS-299_haematopoietic_and_lymphoid_tissue_907273:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172948120113978_B06	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172948120113978_B06.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	KARPAS-299
J132_EPB07P10_Raji_Blood_909262	Homo sapiens	Raji	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB07P10_Raji_Blood_909262	P-MTAB-44937	J132_EPB07P10_Raji_Blood_909262:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994173212120213068_B07	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994173212120213068_B07.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	Raji
J132_EPB07P1_ES1_Bone_949158	Homo sapiens	ES1	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB07P1_ES1_Bone_949158	P-MTAB-44937	J132_EPB07P1_ES1_Bone_949158:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994157493061613625_B07	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994157493061613625_B07.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	ES1
J132_EPB07P2_COLO-679_Skin_906818	Homo sapiens	COLO-679	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB07P2_COLO-679_Skin_906818	P-MTAB-44937	J132_EPB07P2_COLO-679_Skin_906818:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513209_B07	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513209_B07.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	COLO-679
J132_EPB07P3_EW-13_Bone_949166	Homo sapiens	EW-13	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB07P3_EW-13_Bone_949166	P-MTAB-44937	J132_EPB07P3_EW-13_Bone_949166:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813929_B07	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813929_B07.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	EW-13
J132_EPB07P4_LN-405_Brain_910694	Homo sapiens	LN-405	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB07P4_LN-405_Brain_910694	P-MTAB-44937	J132_EPB07P4_LN-405_Brain_910694:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513202_B07	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513202_B07.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	LN-405
J132_EPB07P5_TE-10_Esophagus_753622	Homo sapiens	TE-10	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB07P5_TE-10_Esophagus_753622	P-MTAB-44937	J132_EPB07P5_TE-10_Esophagus_753622:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513207_B07	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513207_B07.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	TE-10
J132_EPB07P6_HCE-T_Sinus_907049	Homo sapiens	HCE-T	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB07P6_HCE-T_Sinus_907049	P-MTAB-44937	J132_EPB07P6_HCE-T_Sinus_907049:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813928_B07	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813928_B07.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	HCE-T
J132_EPB07P7_NCI-H1304_Lung_753599	Homo sapiens	NCI-H1304	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB07P7_NCI-H1304_Lung_753599	P-MTAB-44937	J132_EPB07P7_NCI-H1304_Lung_753599:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513201_B07	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513201_B07.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	NCI-H1304
J132_EPB07P8_NU-DUL-1_Blood_1330982	Homo sapiens	NU-DUL-1	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB07P8_NU-DUL-1_Blood_1330982	P-MTAB-44937	J132_EPB07P8_NU-DUL-1_Blood_1330982:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813930_B07	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813930_B07.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	NU-DUL-1
J132_EPB07P9_NCI-H2172_Lung:NSCLC_1298353	Homo sapiens	NCI-H2172	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB07P9_NCI-H2172_Lung:NSCLC_1298353	P-MTAB-44937	J132_EPB07P9_NCI-H2172_Lung:NSCLC_1298353:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172948120113978_B07	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172948120113978_B07.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	NCI-H2172
J132_EPB08P10_NCI-N87_Stomach_908461	Homo sapiens	NCI-N87	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB08P10_NCI-N87_Stomach_908461	P-MTAB-44937	J132_EPB08P10_NCI-N87_Stomach_908461:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994173212120213068_B08	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994173212120213068_B08.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	NCI-N87
J132_EPB08P1_HDLM-2_Blood_924110	Homo sapiens	HDLM-2	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB08P1_HDLM-2_Blood_924110	P-MTAB-44937	J132_EPB08P1_HDLM-2_Blood_924110:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994157493061613625_B08	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994157493061613625_B08.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	HDLM-2
J132_EPB08P2_CAL-78_Bone_1290765	Homo sapiens	CAL-78	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB08P2_CAL-78_Bone_1290765	P-MTAB-44937	J132_EPB08P2_CAL-78_Bone_1290765:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513209_B08	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513209_B08.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	CAL-78
J132_EPB08P3_HSC-3_Head & Neck_907061	Homo sapiens	HSC-3	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB08P3_HSC-3_Head & Neck_907061	P-MTAB-44937	J132_EPB08P3_HSC-3_Head & Neck_907061:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813929_B08	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813929_B08.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	HSC-3
J132_EPB08P4_L-540_Blood_907323	Homo sapiens	L-540	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB08P4_L-540_Blood_907323	P-MTAB-44937	J132_EPB08P4_L-540_Blood_907323:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513202_B08	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513202_B08.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	L-540
J132_EPB08P5_TE-9_Esophagus_946353	Homo sapiens	TE-9	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB08P5_TE-9_Esophagus_946353	P-MTAB-44937	J132_EPB08P5_TE-9_Esophagus_946353:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513207_B08	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513207_B08.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	TE-9
J132_EPB08P6_HCC-827_Lung_1240146	Homo sapiens	HCC-827	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB08P6_HCC-827_Lung_1240146	P-MTAB-44937	J132_EPB08P6_HCC-827_Lung_1240146:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813928_B08	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813928_B08.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	HCC-827
J132_EPB08P7_NCI-H1915_Lung_1240184	Homo sapiens	NCI-H1915	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB08P7_NCI-H1915_Lung_1240184	P-MTAB-44937	J132_EPB08P7_NCI-H1915_Lung_1240184:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513201_B08	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513201_B08.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	NCI-H1915
J132_EPB08P8_NBsusSR_PNS_925342	Homo sapiens	NBsusSR	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB08P8_NBsusSR_PNS_925342	P-MTAB-44937	J132_EPB08P8_NBsusSR_PNS_925342:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813930_B08	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813930_B08.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	NBsusSR
J132_EPB08P9_LK-2_lung_687787	Homo sapiens	LK-2	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB08P9_LK-2_lung_687787	P-MTAB-44937	J132_EPB08P9_LK-2_lung_687787:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172948120113978_B08	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172948120113978_B08.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	LK-2
J132_EPB09P10_MIA-PaCa-2_Pancreas_724870	Homo sapiens	MIA-PaCa-2	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB09P10_MIA-PaCa-2_Pancreas_724870	P-MTAB-44937	J132_EPB09P10_MIA-PaCa-2_Pancreas_724870:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994173212120213068_B09	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994173212120213068_B09.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	MIA-PaCa-2
J132_EPB09P1_H2731_Lung_1240134	Homo sapiens	H2731	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB09P1_H2731_Lung_1240134	P-MTAB-44937	J132_EPB09P1_H2731_Lung_1240134:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994157493061613625_B09	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994157493061613625_B09.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	H2731
J132_EPB09P2_COLO-668_Lung_910692	Homo sapiens	COLO-668	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB09P2_COLO-668_Lung_910692	P-MTAB-44937	J132_EPB09P2_COLO-668_Lung_910692:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513209_B09	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513209_B09.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	COLO-668
J132_EPB09P3_HuO9_Bone_907072	Homo sapiens	HuO9	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB09P3_HuO9_Bone_907072	P-MTAB-44937	J132_EPB09P3_HuO9_Bone_907072:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813929_B09	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813929_B09.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	HuO9
J132_EPB09P4_GAK_Skin_910932	Homo sapiens	GAK	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB09P4_GAK_Skin_910932	P-MTAB-44937	J132_EPB09P4_GAK_Skin_910932:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513202_B09	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513202_B09.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	GAK
J132_EPB09P5_SLVL_Blood_1331032	Homo sapiens	SLVL	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB09P5_SLVL_Blood_1331032	P-MTAB-44937	J132_EPB09P5_SLVL_Blood_1331032:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513207_B09	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513207_B09.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	SLVL
J132_EPB09P6_SW948_Intestine_909757	Homo sapiens	SW948	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB09P6_SW948_Intestine_909757	P-MTAB-44937	J132_EPB09P6_SW948_Intestine_909757:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813928_B09	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813928_B09.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	SW948
J132_EPB09P7_NCI-H1623_Lung:NSCLC_687798	Homo sapiens	NCI-H1623	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB09P7_NCI-H1623_Lung:NSCLC_687798	P-MTAB-44937	J132_EPB09P7_NCI-H1623_Lung:NSCLC_687798:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513201_B09	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513201_B09.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	NCI-H1623
J132_EPB09P8_OVK-18_Ovary_1480371	Homo sapiens	OVK-18	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB09P8_OVK-18_Ovary_1480371	P-MTAB-44937	J132_EPB09P8_OVK-18_Ovary_1480371:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813930_B09	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813930_B09.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	OVK-18
J132_EPB09P9_IOSE-364-_Ovary_1479991	Homo sapiens	IOSE-364-	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB09P9_IOSE-364-_Ovary_1479991	P-MTAB-44937	J132_EPB09P9_IOSE-364-_Ovary_1479991:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172948120113978_B09	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172948120113978_B09.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	IOSE-364-
J132_EPB10P1_IST-MEL1_Skin_907172	Homo sapiens	IST-MEL1	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB10P1_IST-MEL1_Skin_907172	P-MTAB-44937	J132_EPB10P1_IST-MEL1_Skin_907172:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994157493061613625_B10	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994157493061613625_B10.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	IST-MEL1
J132_EPB10P2_D-263MG_CNS_946368	Homo sapiens	D-263MG	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB10P2_D-263MG_CNS_946368	P-MTAB-44937	J132_EPB10P2_D-263MG_CNS_946368:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513209_B10	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513209_B10.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	D-263MG
J132_EPB10P3_HPAC_Pancreas_1298136	Homo sapiens	HPAC	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB10P3_HPAC_Pancreas_1298136	P-MTAB-44937	J132_EPB10P3_HPAC_Pancreas_1298136:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813929_B10	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813929_B10.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	HPAC
J132_EPB10P4_GP5d_Intestine_907291	Homo sapiens	GP5d	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB10P4_GP5d_Intestine_907291	P-MTAB-44937	J132_EPB10P4_GP5d_Intestine_907291:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513202_B10	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513202_B10.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	GP5d
J132_EPB10P5_SNU-449_Liver_909738	Homo sapiens	SNU-449	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB10P5_SNU-449_Liver_909738	P-MTAB-44937	J132_EPB10P5_SNU-449_Liver_909738:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513207_B10	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513207_B10.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	SNU-449
J132_EPB10P6_HCE-4_Esophagus_753559	Homo sapiens	HCE-4	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB10P6_HCE-4_Esophagus_753559	P-MTAB-44937	J132_EPB10P6_HCE-4_Esophagus_753559:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813928_B10	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813928_B10.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip	HCE-4
J132_EPB10P7_OCI-AML2_Blood_910947	Homo sapiens	OCI-AML2	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB10P7_OCI-AML2_Blood_910947	P-MTAB-44937	J132_EPB10P7_OCI-AML2_Blood_910947:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513201_B10	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513201_B10.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip	OCI-AML2
J132_EPB10P8_OCI-LY-19_Blood_1330984	Homo sapiens	OCI-LY-19	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB10P8_OCI-LY-19_Blood_1330984	P-MTAB-44937	J132_EPB10P8_OCI-LY-19_Blood_1330984:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813930_B10	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813930_B10.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip	OCI-LY-19
J132_EPB10P9_NCI-H2286_Lung_1298355	Homo sapiens	NCI-H2286	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB10P9_NCI-H2286_Lung_1298355	P-MTAB-44937	J132_EPB10P9_NCI-H2286_Lung_1298355:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172948120113978_B10	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172948120113978_B10.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip	NCI-H2286
J132_EPB11P1_5637_Bladder_687452	Homo sapiens	5637	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB11P1_5637_Bladder_687452	P-MTAB-44937	J132_EPB11P1_5637_Bladder_687452:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994157493061613625_B11	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994157493061613625_B11.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip	5637
J132_EPB11P2_DMS-53_Lung_907295	Homo sapiens	DMS-53	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB11P2_DMS-53_Lung_907295	P-MTAB-44937	J132_EPB11P2_DMS-53_Lung_907295:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513209_B11	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513209_B11.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip	DMS-53
J132_EPB11P3_Hs-633T_Misc_1240149	Homo sapiens	Hs-633T	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB11P3_Hs-633T_Misc_1240149	P-MTAB-44937	J132_EPB11P3_Hs-633T_Misc_1240149:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813929_B11	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813929_B11.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip	Hs-633T
J132_EPB11P4_MFM-223_Breast_910948	Homo sapiens	MFM-223	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB11P4_MFM-223_Breast_910948	P-MTAB-44937	J132_EPB11P4_MFM-223_Breast_910948:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513202_B11	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513202_B11.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip	MFM-223
J132_EPB11P5_SW780_Bladder_687457	Homo sapiens	SW780	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB11P5_SW780_Bladder_687457	P-MTAB-44937	J132_EPB11P5_SW780_Bladder_687457:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513207_B11	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513207_B11.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip	SW780
J132_EPB11P6_JVM-3_Blood_907270	Homo sapiens	JVM-3	cell	P-MTAB-44941	P-MTAB-44940	J132_EPB11P6_JVM-3_Blood_907270	P-MTAB-44937	J132_EPB11P6_JVM-3_Blood_907270:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813928_B11	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813928_B11.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip	JVM-3
